numPosto;numEndereco;tipo;concentrador;numLed;concentradorSecundario;numLedSecundario;coluna;capacidade;descricao
19;156263;FLOWRACK;;;;;;;
19;156264;FLOWRACK;;;;;;;
19;156265;FLOWRACK;;;;;;;
19;156266;FLOWRACK;;;;;;;
19;156267;FLOWRACK;;;;;;;
19;156268;FLOWRACK;;;;;;;
19;149980;FLOWRACK;;;;;;;
19;156269;FLOWRACK;;;;;;;
19;156270;FLOWRACK;;;;;;;
19;156271;FLOWRACK;;;;;;;
19;156272;FLOWRACK;;;;;;;
19;156273;FLOWRACK;;;;;;;
19;156274;FLOWRACK;;;;;;;
19;156275;FLOWRACK;;;;;;;
19;156276;FLOWRACK;;;;;;;
19;149981;FLOWRACK;;;;;;;
19;156277;FLOWRACK;;;;;;;
19;156278;FLOWRACK;;;;;;;
19;156279;FLOWRACK;;;;;;;
19;156280;FLOWRACK;;;;;;;
19;156281;FLOWRACK;;;;;;;
19;156282;FLOWRACK;;;;;;;
19;156283;FLOWRACK;;;;;;;
19;156284;FLOWRACK;;;;;;;
19;149982;FLOWRACK;;;;;;;
19;156285;FLOWRACK;;;;;;;
19;156286;FLOWRACK;;;;;;;
19;156287;FLOWRACK;;;;;;;
19;156288;FLOWRACK;;;;;;;
19;156289;FLOWRACK;;;;;;;
19;156290;FLOWRACK;;;;;;;
19;156291;FLOWRACK;;;;;;;
19;156292;FLOWRACK;;;;;;;
19;149968;FLOWRACK;;;;;;;
19;156293;FLOWRACK;;;;;;;
19;156294;FLOWRACK;;;;;;;
19;156295;FLOWRACK;;;;;;;
19;156296;FLOWRACK;;;;;;;
19;156297;FLOWRACK;;;;;;;
19;156298;FLOWRACK;;;;;;;
19;156299;FLOWRACK;;;;;;;
19;156300;FLOWRACK;;;;;;;
19;149969;FLOWRACK;;;;;;;
19;156301;FLOWRACK;;;;;;;
19;156302;FLOWRACK;;;;;;;
19;156303;FLOWRACK;;;;;;;
19;156304;FLOWRACK;;;;;;;
19;156305;FLOWRACK;;;;;;;
19;156306;FLOWRACK;;;;;;;
19;156307;FLOWRACK;;;;;;;
19;156308;FLOWRACK;;;;;;;
19;149966;FLOWRACK;;;;;;;
19;149967;FLOWRACK;;;;;;;
19;156309;FLOWRACK;;;;;;;
19;156310;FLOWRACK;;;;;;;
19;156311;FLOWRACK;;;;;;;
19;156312;FLOWRACK;;;;;;;
19;156313;FLOWRACK;;;;;;;
19;156314;FLOWRACK;;;;;;;
19;156315;FLOWRACK;;;;;;;
19;149970;FLOWRACK;;;;;;;
19;156316;FLOWRACK;;;;;;;
19;156317;FLOWRACK;;;;;;;
19;156318;FLOWRACK;;;;;;;
19;156319;FLOWRACK;;;;;;;
19;156320;FLOWRACK;;;;;;;
19;156321;FLOWRACK;;;;;;;
19;156322;FLOWRACK;;;;;;;
19;156323;FLOWRACK;;;;;;;
19;149983;FLOWRACK;;;;;;;
19;156324;FLOWRACK;;;;;;;
19;156325;FLOWRACK;;;;;;;
19;156326;FLOWRACK;;;;;;;
19;156327;FLOWRACK;;;;;;;
19;156328;FLOWRACK;;;;;;;
19;156329;FLOWRACK;;;;;;;
19;156330;FLOWRACK;;;;;;;
19;156331;FLOWRACK;;;;;;;
19;149984;FLOWRACK;;;;;;;
19;156332;FLOWRACK;;;;;;;
19;156333;FLOWRACK;;;;;;;
19;156334;FLOWRACK;;;;;;;
19;156335;FLOWRACK;;;;;;;
19;156336;FLOWRACK;;;;;;;
19;156337;FLOWRACK;;;;;;;
19;156338;FLOWRACK;;;;;;;
